"External ID","Display Name"
"__export__.product_category_1075","Industrias Donsson / Filtros / Racor"
"__export__.product_category_1076","Industrias Donsson / Filtros / Racor / Importado"
"__export__.product_category_1100","Industrias Donsson / Filtros / Racor / Importado / Aceite"
"__export__.product_category_1130","Industrias Donsson / Filtros / Racor / Importado / Aceite / Racor Brasil Aceite Elemento"
"__export__.product_category_1101","Industrias Donsson / Filtros / Racor / Importado / Aceite / Racor Brasil Aceite Sellado"
"__export__.product_category_1077","Industrias Donsson / Filtros / Racor / Importado / Aire"
"__export__.product_category_1060","Industrias Donsson / Filtros / Racor / Importado / Aire / Racor USA Aire Elemento"
"__export__.product_category_1079","Industrias Donsson / Filtros / Racor / Importado / Combustible"
"__export__.product_category_1049","Industrias Donsson / Filtros / Racor / Importado / Combustible / Racor Brasil Combustible Conjunto Separador"
"__export__.product_category_1039","Industrias Donsson / Filtros / Racor / Importado / Combustible / Racor Brasil Combustible Elemento"
"__export__.product_category_1040","Industrias Donsson / Filtros / Racor / Importado / Combustible / Racor Brasil Combustible Sellado"
"__export__.product_category_1030","Industrias Donsson / Filtros / Racor / Importado / Combustible / Racor Brasil Combustible Otros"
"__export__.product_category_1029","Industrias Donsson / Filtros / Racor / Importado / Combustible / Racor USA Combustible Sellado"
"__export__.product_category_1051","Industrias Donsson / Filtros / Racor / Importado / Combustible / Racor USA Combustible Conjunto Separador "
"__export__.product_category_1050","Industrias Donsson / Filtros / Racor / Importado / Combustible / Racor USA Combustible elemento"
"__export__.product_category_1052","Industrias Donsson / Filtros / Racor / Importado / Combustible / Racor USA Combustible Otros"
"__export__.product_category_1083","Industrias Donsson / Filtros / Racor / Importado / Hidráulico"
"__export__.product_category_1044","Industrias Donsson / Filtros / Racor / Importado / Racor Brasil Hidraulico Elemento"
"__export__.product_category_1080","Industrias Donsson / Filtros / Rama"
"__export__.product_category_1081","Industrias Donsson / Filtros / Rama / Importado"
"__export__.product_category_1082","Industrias Donsson / Filtros / Rama / Importado / Combustible"
"__export__.product_category_811","Industrias Donsson / Filtros / Rama / Importado / Combustible / Rama Combustible Elemento"
"__export__.product_category_812","Industrias Donsson / Filtros / Rama / Importado / Combustible / Rama Combustible Otros"
"__export__.product_category_813","Industrias Donsson / Filtros / Rama / Importado / Combustible / Rama Combustible Sellado"
"__export__.product_category_1136","Industrias Donsson / FLETES"
"__export__.product_category_967","Industrias Donsson / GASTOS"
"__export__.product_category_971","Industrias Donsson / GASTOS / GASTOS LEGALES"
"__export__.product_category_973","Industrias Donsson / GASTOS / MANTENIMIENTO"
"__export__.product_category_1119","Industrias Donsson / ADMINISTRATIVO - Intereses de mora"
"__export__.product_category_1006","Industrias Donsson / Material Promocional"
