product_name;producto_code;Suma de stock_actual;Suma de inventario_ideal;sucursal_nombre;clasificacion;Suma de valor_stock_actual;Suma de valor_stock_ideal;categoria_producto
DAB08079025;025 DA8079;7;1;CALI;C;282459.38;40351.34;Filtro
DAB09030025;025 DA9030;7;0;CALI;C;218144.85;0;Filtro
DAB09152025;025 DA9152;7;0;CALI;C;84816.9;0;Filtro
DAE04023025;025 DA4023;7;1;CALI;C;259101.22;37014.46;Filtro
DAE04114025;025 DA4114;7;1;CALI;C;196066.08;28009.44;Filtro
DAR02032025;025 DA2032;7;1;CALI;C;199872.4;28553.2;Filtro
DAR02106025;025 DA2106;7;1;CALI;C;336509.67;48072.81;Filtro
DAR02111025;025 DA2111;7;1;CALI;C;501766.37;71680.91;Filtro
DAR02543025;025 DA2543;7;0;CALI;C;320612.74;0;Filtro
DAR02553025;025 DA2553;7;1;CALI;C;613078.27;87582.61;Filtro
DAR02855025;025 DA2855;7;1;CALI;C;262578.33;37511.19;Filtro
DAR03144025;025 DA3144;7;1;CALI;C;231483;33069;Filtro
DAR03241025;025 DA3241;7;1;CALI;C;171405.29;24486.47;Filtro
DAR08045025;025 DA8045;7;1;CALI;C;261907.59;37415.37;Filtro
DAS07828025;025 DA7828;7;1;CALI;C;369515.23;52787.89;Filtro
DCE00046137;137 RC149A;7;0;CALI;C;91968.66;0;Filtro
DCE00609189;189 G609;7;0;CALI;C;108820.53;0;Filtro
DCE00764189;189 G764;7;1;CALI;C;73363.08;10480.44;Filtro
DCE10129138;138 2010TM;7;1;CALI;C;179397.26;25628.18;Filtro
DCS00585138;138 PFF50418;7;1;CALI;C;615085.38;87869.34;Filtro
DCS00627189;189 GS627;7;1;CALI;C;158004.21;22572.03;Filtro
DLE00909136;136 OLP093;7;0;CALI;C;91920.5;0;Otros
DLS00213189;189 GS213;7;3;CALI;C;26563.88;11384.52;Filtro
BAC00124125;125 PA5752;6;0;CALI;C;350715.78;0;Filtro
BCE00125125;125 F950F;6;1;CALI;C;179841.84;29973.64;Filtro
BCE10376125;125 101W;6;0;CALI;C;120478.14;0;Filtro
BCE10443125;125 BF840K1;6;1;CALI;C;55718.28;9286.38;Filtro
BCS00198125;125 BF798;6;1;CALI;C;232265.34;38710.89;Filtro
BCS00270125;125 BF1223O;6;1;CALI;C;601774.02;100295.67;Filtro
BCS10270125;125 BF1223;6;0;CALI;C;405597.24;0;Filtro
BCS10377125;125 BF1395O;6;0;CALI;C;634306.98;0;Filtro
BCS10383125;125 BF1358O;6;1;CALI;C;701807.1;116967.85;Filtro
BCX00079125;125 B10ALBOWL;6;0;CALI;C;358987.2;0;Filtro
BDS00668125;125 BF46039D;6;1;CALI;C;344561.46;57426.91;Filtro
BHE00016125;125 PT93;6;1;CALI;C;158430;26405;Filtro
BHS00325125;125 BT8415;6;1;CALI;C;532301.04;88716.84;Filtro
BHS00327125;125 BT8432MPG;6;0;CALI;C;1020177.18;0;Filtro
BHS00335125;125 BT8851MPG;6;1;CALI;C;779308.44;129884.74;Filtro
BHS00654125;125 BT9370MPG;6;1;CALI;C;733146;122191;Filtro
BHS10113125;125 BT739;6;0;CALI;C;495056.58;0;Filtro
BLS00195125;125 B7121;6;1;CALI;C;422680.74;70446.79;Filtro
BLS00572125;125 B7239;6;0;CALI;C;414622.86;0;Filtro
BLS00590125;125 B7378;6;0;CALI;C;183031.26;0;Filtro
BLS00692125;125 BD40027;6;0;CALI;C;179743.5;0;Filtro
