product_name,producto_code,Suma de stock_actual,Suma de inventario_ideal,sucursal_nombre,clasificacion,Suma de valor_stock_actual,Suma de valor_stock_ideal,categoria_producto
DAB04932025,025 DA4932,17,9,CALI,B,201688.34,106776.18,Filtro
DAB08220025,025 DA8220,17,11,CALI,B,369356.96,238995.68,Filtro
DAP08046025,025 DA8046,17,5,CALI,B,518823.17,152595.05,Filtro
DAR02499025,025 DA2499,17,12,CALI,B,306613.36,216432.96,Filtro
DCE00390137,137 REC154,17,7,CALI,B,541598.9199999999,223011.32,Filtro
DLS00311189,189 GS311,17,4,CALI,B,155238.39,36526.68,Filtro
BCS00087125,125 BF596,16,3,CALI,B,884814.24,165902.67,Filtro
BCS10168125,125 BF1205,16,7,CALI,B,981688,429488.5,Filtro
BLS00516125,125 B7179,16,7,CALI,B,686704,300433,Filtro
DAB02919025,025 DA2919,16,4,CALI,B,634778.08,158694.52,Filtro
DAB08027025,025 DA8027,16,5,CALI,B,568529.28,177665.4,Filtro
DAB08234025,025 DA8234,16,11,CALI,B,362416.64,249161.44,Filtro
DAB08256025,025 DA8256,16,11,CALI,B,376455.68,258813.28,Filtro
DAB09056025,025 DA9056,16,14,CALI,B,222911.04,195047.16,Filtro
DAR02047025,025 DA2047,16,11,CALI,B,455162.72,312924.37,Filtro
DAR02708025,025 DA2708,16,3,CALI,B,525309.6,98495.54999999999,Filtro
BCE00065125,125 BF7736,15,8,CALI,B,124274.85,66279.92,Filtro
BCE00601125,125 BF7725,15,12,CALI,B,124418.55,99534.84,Filtro
BCS00281125,125 BF7656,15,4,CALI,B,505111.8,134696.48,Filtro
BHS00073125,125 BT28710,15,9,CALI,B,624717,374830.2,Filtro
DCE01002137,137 RE160J10MAQII,15,6,CALI,B,387333.75,154933.5,Filtro
DCS00342189,189 GS342,15,8,CALI,B,144360.75,76992.4,Filtro
BCE00716125,125 PF7744,14,6,CALI,B,336482.58,144206.82,Filtro
BCS00229125,125 BF7673D,14,7,CALI,B,594808.62,297404.31,Filtro
BHS10166125,125 BT8876MPG,14,4,CALI,B,2793924.56,798264.16,Filtro
DAB02832025,025 DA2832,14,11,CALI,B,351051.68,275826.32,Filtro
