sucursal_nombre,producto_marca,product_name,producto_code,clasificacion,stock_actual,inventario_ideal,producto_costo_unitario,semana,ano
BARRANQUILLA,DONSSON,DAS07801025,025 DA7801,A,36,34,32786.73,34,2025
BARRANQUILLA,BALDWIN,BLS00542125,125 B7327,A,24,36,36257.93,34,2025
BARRANQUILLA,RACOR BRASIL,DCE20126137,137 2020PM,A,1,38,29084.18,34,2025
BARRANQUILLA,DONSSON,DAB14671025,025 DA4671A,A,47,41,13409.93,34,2025
BARRANQUILLA,DONSSON,DAB02728025,025 DA2728,A,30,31,57606.65,34,2025
BARRANQUILLA,BALDWIN,BCS00348125,125 BF7746D,A,28,33,36935.74,34,2025
BARRANQUILLA,BALDWIN,BLE00928125,125 P7502,A,10,33,33912.09,34,2025
BARRANQUILLA,BALDWIN,BCS00557125,125 BF1345O,A,17,31,64958.97,34,2025
BARRANQUILLA,BALDWIN,BHS00153125,125 BT8840MPG,A,22,30,89946.03,34,2025
BARRANQUILLA,BALDWIN,BCS00363125,125 BF7814,A,29,31,52936.19,34,2025
BARRANQUILLA,DONSSON,DAB02702025,025 DA2702,A,61,31,37347.94,34,2025
BARRANQUILLA,AUT*PARTS,DCS10014189,189 GS014A,A,34,32,10560.62,34,2025
BARRANQUILLA,RACOR BRASIL,DCE00046137,137 RC149A,A,70,31,13138.38,34,2025
BARRANQUILLA,AUT*PARTS,DCS00411189,189 GS411,A,0,60,9976.27,34,2025
BARRANQUILLA,BALDWIN,BCS00229125,125 BF7673D,A,29,29,42486.33,34,2025
BARRANQUILLA,AUT*PARTS,DLE00708189,189 G708,A,57,35,10760.05,34,2025
BARRANQUILLA,BALDWIN,BLS00459125,125 B7350,A,30,29,42516.22,34,2025
BARRANQUILLA,RACOR BRASIL,DCS10536137,137 R90-10M,A,102,42,47942.77,34,2025
BARRANQUILLA,DONSSON,DAE09022025,025 DA9022,A,3,30,20173.64,34,2025
BARRANQUILLA,DONSSON,DAB02688025,025 DA2688,A,48,31,39411.7,34,2025
BARRANQUILLA,AUT*PARTS,DCS00540189,189 GS540,A,38,32,22308.48,34,2025
BARRANQUILLA,AUT*PARTS,DCS00605189,189 GS605,A,39,33,19905.02,34,2025
BARRANQUILLA,DONSSON,DAB02598025,025 DA2598,A,27,27,36695.86,34,2025
BARRANQUILLA,AUT*PARTS,DAE01093189,189 GA1093,B,24,30,7703.25,34,2025
BARRANQUILLA,DONSSON,DAB02028025,025 DA2028,A,29,30,20835.64,34,2025
BARRANQUILLA,BALDWIN,BLS00458125,125 B141,A,3,33,14892.35,34,2025
BARRANQUILLA,BALDWIN,BLS00294125,125 B7306,A,27,29,20837.17,34,2025
BARRANQUILLA,BALDWIN,BCE00663125,125 PF7761,A,12,28,45974.01,34,2025
BARRANQUILLA,BALDWIN,BLS00145125,125 B1400,A,3,27,15191.12,34,2025
BARRANQUILLA,AUT*PARTS,DCE00936189,189 G936,B,13,28,7889.76,34,2025
BARRANQUILLA,BALDWIN,BLE00229125,125 P7093,A,47,37,65871.07,34,2025
BARRANQUILLA,BALDWIN,BHS00398125,125 BT8488,A,13,29,72548.22,34,2025
BARRANQUILLA,DONSSON,DAR02036025,025 DA2036,A,40,34,52614.6,34,2025
BARRANQUILLA,DONSSON,DAB04546025,025 DA4546,A,18,27,15188.55,34,2025
BARRANQUILLA,DONSSON,DAB04598025,025 DA4598,A,26,26,16109.96,34,2025
BARRANQUILLA,DONSSON,DAB02976025,025 DA2976,A,26,26,46162.66,34,2025
BARRANQUILLA,DONSSON,DAB09196025,025 DA9196,A,20,29,16777.28,34,2025
BARRANQUILLA,DONSSON,DAB08118025,025 DA8118,A,58,37,44714.65,34,2025
BARRANQUILLA,DONSSON,DAB02864025,025 DA2864,A,28,28,19883.11,34,2025
BARRANQUILLA,DONSSON,DAB02546025,025 DA2546,A,14,26,30327.87,34,2025
BARRANQUILLA,DONSSON,DAB08250025,025 DA8250,A,0,26,35511.6,34,2025
BARRANQUILLA,DONSSON,DAB04688025,025 DA4688,A,46,28,16911.66,34,2025
BARRANQUILLA,DONSSON,DAB04783025,025 DA4783,A,36,26,11951.86,34,2025
BARRANQUILLA,BALDWIN,BLS00029125,125 BT287,A,9,29,50923.89,34,2025
BARRANQUILLA,BALDWIN,BLS00414125,125 BT8409,A,0,32,32359.14,34,2025
BARRANQUILLA,AUT*PARTS,DCE00991189,189 G991,B,17,32,9082.62,34,2025
BARRANQUILLA,DONSSON,DAB02805025,025 DA2805,A,22,26,27666.4,34,2025
BARRANQUILLA,AUT*PARTS,DCS00680189,189 GS680,A,21,27,15557.49,34,2025
BARRANQUILLA,RACOR BRASIL,DCS00564137,137 R160T,A,26,26,83355.68,34,2025
BARRANQUILLA,BALDWIN,BCE00609125,125 PF7735,A,23,26,39956.05,34,2025
BARRANQUILLA,DONSSON,DAR03925025,025 DA3925,A,11,28,20197.62,34,2025
BARRANQUILLA,BALDWIN,BCS00062125,125 BF5800,A,26,26,25462.8,34,2025
BARRANQUILLA,DONSSON,DAB04702025,025 DA4702,B,40,24,16161.0,34,2025
BARRANQUILLA,BALDWIN,BCS00565125,125 BF7645,A,6,26,33279.02,34,2025
BARRANQUILLA,BALDWIN,BLS00022125,125 BT364,A,28,26,19281.84,34,2025
BARRANQUILLA,BALDWIN,BLS00044125,125 B178,B,60,29,12301.23,34,2025
BARRANQUILLA,DONSSON,DAR02124025,025 DA2124,A,23,25,41560.81,34,2025
BARRANQUILLA,BALDWIN,BHS10167125,125 BT305,A,14,24,52688.08,34,2025
BARRANQUILLA,DONSSON,DAB12570025,025 DA2570UHE,A,24,23,18775.78,34,2025
BARRANQUILLA,BALDWIN,BHS00437125,125 BT9464,A,2,24,119379.84,34,2025
BARRANQUILLA,AUT*PARTS,DLS00136189,189 GS136,A,45,27,20060.94,34,2025
BARRANQUILLA,BALDWIN,BLS10077125,125 B7685,A,1,24,57402.96,34,2025
BARRANQUILLA,DONSSON,DAB08027025,025 DA8027,A,19,22,35308.46,34,2025
